**********------------scene1------------**********

0, 0,0689089

5, 0,4830724

0, 0,6145807

5, 0,4292513

0, 2,598156

5, 0,5731038

0, 0,5272126

2, 0,5721049

5, 0,7845497

0, 0,3342618

5, 0,0728433

4, 0,1580209

0, 0,9829106

6, 0,0414761

0, 0,2505419

7, 0,1506703

0, 0,6985319

5, 2,935592

0, 1,665783

4, 0,1180983

0, 0,9576132

2, 0,0617558

5, 0,5266364

0, 0,2554918

2, 0,5741479

5, 2,152405

0, 2,871087

5, 0,4713404

0, 0,4428416

5, 0,2069208

0, 6,896974

5, 0,398151

0, 2,439502

5, 1,071913

0, 4,345784

7, 0,2301402

0, 4,243598

5, 0,6907796

0, 0,6529354

5, 1,686453

0, 3,580947

2, 0,0629028

2, 0,5155106

5, 6,369982

0, 5,272916

5, 3,244032

0, 5,256959

**********------------scene2------------**********

5, 0,9228707

0, 16,65172

5, 0,2449153

4, 0,4663825

0, 0,1708108

6, 0,0370141

0, 0,1061266

6, 0,0351487

0, 0,8111602

2, 0,7788261

0, 1,452209

5, 0,3982682

0, 2,755764

5, 1,90965

0, 0,5561984

5, 3,729849

0, 0,1561834

5, 1,464785

0, 1,392752

5, 0,0305156

0, 0,6078241

5, 0,5910369

**********------------scene3------------**********

0, 7,239628

5, 0,0291469

0, 2,572546

5, 0,6300073

2, 1,157693

0, 1,225147

2, 0,1403142

0, 1,685323

2, 0,4855567

0, 1,313797

5, 0,0299318

0, 3,555197

5, 0,1143757

0, 4,889808

5, 0,0287751

0, 0,5955132

2, 0,1144765

0, 11,91915

5, 0,0303064

0, 0,09385261

5, 0,0865017

0, 0,1158324

5, 0,1988156

0, 1,126163

5, 0,0240939

0, 0,1703649

4, 0,2834916

0, 0,1143228

2, 0,6297032

0, 0,0537482

4, 0,0537482

0, 1,484365

2, 0,7827765

0, 0,4312368

5, 0,0264997

2, 1,448715

0, 0,0623715

2, 1,302004

0, 0,5441236

2, 0,7395662

0, 0,0574978

5, 0,0574978

0, 2,106522

2, 1,12569

0, 0,2274724

2, 0,7089584

0, 1,327859

2, 0,0295991

0, 3,002883

2, 1,644051

0, 1,925871

2, 0,7432801

0, 6,004079

2, 0,1387015

0, 0,1662932

2, 0,8230829

0, 0,7266334

2, 1,782745

0, 0,0592613

5, 1,102174

0, 0,0845627

2, 0,5159526

0, 1,801987

5, 0,026571

0, 3,843035

5, 0,0300471

0, 0,6397887

5, 0,5571105

0, 0,5446947

2, 0,583896

**********------------scene4------------**********

0, 29,42247

5, 0,0298641

0, 9,597161

4, 0,374675

0, 0,0449473

4, 0,0449473

0, 0,5158389

4, 1,15725

0, 1,185009

4, 0,0279903

0, 3,955947

4, 0,569797

0, 3,76754

4, 0,3130461

**********------------scene5------------**********

0, 4,675953

5, 0,09660821

0, 5,739349

4, 0,5883788

5, 0,6164605

2, 0,1858636

3, 0,0491435

0, 0,618192

2, 0,014502

5, 0,0574654

4, 0,3154085

0, 0,0514186

2, 0,1008557

0, 11,48218

4, 0,0434109

0, 29,12574

4, 0,0810141

0, 1,572009

4, 0,0182625

0, 0,2282428

4, 0,0295803

0, 0,0597729

4, 0,0355787

0, 0,0994885

4, 0,0212803

0, 0,0414169

4, 0,021695

0, 0,1964338

4, 0,0456677

**********------------scene6------------**********

0, 1,902781

4, 0,6825841

0, 1,00072

4, 0,1216522

0, 0,1151385

4, 0,3843567

0, 10,8288

7, 0,5397984

0, 24,32452

4, 0,5727592

0, 1,026682

**********------------Fin_Relaxation------------**********

